testid,section,type,marks,negative_marks,question_text,image_url,option_a,option_b,option_c,option_d,correct_answer,integer_ans,solution
6,Computer Science & Engineering,NAT,4.0,0.0,"void f1(int a, int b){ int c; c=a; a=b; b=c; } void f2(int *a, int *b){ int c; c=*a; *a=*b; *b=c; } int main(){ int a=4, b=5, c=6; f1(a,b); f2(&b,&c); printf(""%d"",c-a-b); } Output?",,,,,,-5,-5,"f1 swaps local copies (no effect on main). f2 swaps values at b and c → b becomes 6, c becomes 5. Then c‑a‑b = 5‑4‑6 = -5."
6,Computer Science & Engineering,NAT,4.0,0.0,"Consider a system with byte‑addressable memory, 32‑bit logical addresses, 4 kilobyte page size and page table entries of 4 bytes each. The size of the page table in megabytes is",,,,,,4,4,Page size = 4KB = 2^12 bytes. Number of pages = 2^32 / 2^12 = 2^20 pages. Page table size = 2^20 * 4 bytes = 4 MB.
6,Computer Science & Engineering,MCQ,4.0,1.0,Which one of the following is TRUE at any valid state in shift‑reduce parsing?,,Viable prefixes appear only at the bottom of the stack,Viable prefixes appear only at the top of the stack,The stack contains only a set of viable prefixes,The stack never contains viable prefixes,B,,"A viable prefix is a prefix of a right‑sentential form that can appear on the stack. During shift‑reduce parsing, the stack content is always a viable prefix, and it appears at the top."
6,Computer Science & Engineering,MCQ,4.0,1.0,Which one of the following is NOT equivalent to p ↔ q ?,,(¬p ∨ q) ∧ (p ∨ ¬q),(¬p ∨ q) ∧ (q → p),(¬p ∧ q) ∨ (p ∧ ¬q),(¬p ∧ ¬q) ∨ (p ∧ q),C,,"p ↔ q is true when p and q are identical. Option C is (p XOR q), which is the negation of equivalence."
6,Computer Science & Engineering,MCQ,4.0,1.0,Which of the following statements is/are FALSE? I. XML overcomes limitations in HTML for structured content. II. XML is not case sensitive while HTML is case sensitive. III. XML supports user defined tags; HTML uses pre‑defined tags. IV. XML tags need not be closed; HTML tags must be closed.,,II only,I only,II and IV only,III and IV only,C,,XML is case sensitive; HTML is not (II false). XML tags must be closed (IV false). I and III are true.
6,Computer Science & Engineering,MCQ,4.0,1.0,"For set A = {5,{6},{7}}, power set 2^A. Which are TRUE? I. ∅ ∈ 2^A II. ∅ ⊆ 2^A III. {5,{6}} ∈ 2^A IV. {5,{6}} ⊆ 2^A",,I and III only,"I, II and III only",II and IV only,"I, II and IV only",C,,"I true: empty set is element of power set. II true: empty set is subset of every set. III false: {5,{6}} is a subset of A, hence an element of 2^A (it is ∈). IV false: it is not a subset of 2^A."
6,Computer Science & Engineering,MCQ,4.0,1.0,"In one pair below, both protocols can use multiple TCP connections between same client and server. Which one?",,"HTTP, FTP","HTTP, TELNET","FTP, SMTP","HTTP, SMTP",A,,HTTP (with persistent or parallel connections) can use multiple TCP connections. FTP uses separate control and data connections (multiple TCP). TELNET and SMTP typically use a single connection.
6,Computer Science & Engineering,NAT,4.0,0.0,"LU decomposition of matrix [[2,2],[4,9]] with diagonal elements of U both 1, lower diagonal entry l22 of L is",,,,,,5,5,"Let L = [[l11,0],[l21,l22]], U = [[1,u12],[0,1]]. Then L*U = [[l11, l11*u12],[l21, l21*u12+l22]] = [[2,2],[4,9]]. So l11=2, u12=1; l21=4; then 4*1 + l22 = 9 → l22 = 5."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Suppose two hosts use a TCP connection. Which statements are FALSE? I. If sequence number of a segment is m, subsequent segment is always m+1. II. If estimated RTT is t sec, RTO is always ≥ t. III. Advertised window never changes during connection. IV. Unacknowledged bytes ≤ advertised window.",,III only,I and III only,I and IV only,II and IV only,B,,I false: sequence number increments by segment data length (bytes). III false: advertised window changes with receiver buffer availability. II and IV are true.
6,Computer Science & Engineering,MCQ,4.0,1.0,4‑bit Johnson counter with initial value 0000. Counting sequence is,,"0,1,3,7,15,14,12,8,0","0,1,3,5,7,9,11,13,15,0","0,2,4,6,8,10,12,14,0","0,8,12,14,15,7,3,1,0",D,,"Johnson counter connects complement of last flip‑flop to first. 4‑bit sequence: 0000→1000→1100→1110→1111→0111→0011→0001→0000. In decimal: 0,8,12,14,15,7,3,1,0."
6,Computer Science & Engineering,MCQ,4.0,1.0,N people want pairwise secret communication using symmetric key cryptography. Number of keys required?,,2N,N(N-1),N(N-1)/2,(N-1)^2,C,,"Each pair needs a unique key. Number of pairs = C(N,2) = N(N‑1)/2."
6,Computer Science & Engineering,MCQ,4.0,1.0,Which IP header field is NOT modified by a typical IP router?,,Checksum,Source address,Time to Live (TTL),Length,B,,Routers decrement TTL and update checksum. Length may change if fragmentation occurs. Source address remains unchanged.
6,Computer Science & Engineering,MCQ,4.0,1.0,Worst‑case complexities of insertion and deletion of a key in a binary search tree?,,θ(log n) for both,θ(n) for both,"θ(n) for insertion, θ(log n) for deletion","θ(log n) for insertion, θ(n) for deletion",B,,"In worst case (skewed tree), height = n. Insertion and deletion both require traversing from root to leaf → O(n)."
6,Computer Science & Engineering,MCQ,4.0,1.0,A file is organized so that the ordering of data records is the same as or close to the ordering of data entries in some index. Then that index is called,,Dense,Sparse,Clustered,Unclustered,C,,Clustered index determines the physical order of data records. (Spelling variant 'clustered' = 'clustered').
6,Computer Science & Engineering,MCQ,4.0,1.0,The height of a tree is the length of the longest root‑to‑leaf path. Maximum and minimum number of nodes in a binary tree of height 5 are,,63 and 6,64 and 5,32 and 6,31 and 5,A,,Maximum nodes = 2^(5+1)-1 = 63 (full binary tree). Minimum nodes = 5+1 = 6 (a single chain of 6 nodes).
6,Computer Science & Engineering,NAT,4.0,0.0,Evaluate ∑_{x=1}^{99} 1/(x(x+1)),,,,,,0.99,0.99,Telescoping series: 1/(x(x+1)) = 1/x - 1/(x+1). Sum = 1 - 1/100 = 99/100 = 0.99.
6,Computer Science & Engineering,NAT,4.0,0.0,"SQL query: SELECT S.Student Name, sum(P.Marks) FROM Student S, Performance P WHERE S.Roll No = P.Roll No GROUP BY S.Student Name. Number of rows returned?",,,,,,2,2,Two students share name 'Raj' (Roll 1 and 3). GROUP BY name combines them. Rohit is another group. Total 2 rows.
6,Computer Science & Engineering,MCQ,4.0,1.0,Binary operator ≠ defined by truth table (XOR). Which is true?,,Both commutative and associative,Commutative but not associative,Not commutative but associative,Neither commutative nor associative,A,,XOR (exclusive OR) is both commutative (p⊕q = q⊕p) and associative ( (p⊕q)⊕r = p⊕(q⊕r) ).
6,Computer Science & Engineering,NAT,4.0,0.0,"Probability of no collision in first slot for stations with transmit probabilities 0.1,0.2,0.3,0.4.",,,,,,0.7428,0.7428,P(no collision) = P(0 transmissions) + P(exactly 1). P(0) = 0.9*0.8*0.7*0.6 = 0.3024. P(1) = 0.1*0.8*0.7*0.6 + 0.9*0.2*0.7*0.6 + 0.9*0.8*0.3*0.6 + 0.9*0.8*0.7*0.4 = 0.4404. Total = 0.7428.
6,Computer Science & Engineering,NAT,4.0,0.0,"Disk requests: 45,20,90,10,50,60,80,25,70. Initial head 50. Additional distance traversed by SSTF compared to SCAN (towards 100).",,,,,,10,10,SSTF order: 50→45→60→70→80→90→25→20→10. Distance = 5+15+10+10+10+65+5+10=130. SCAN towards 100 order: 50→60→70→80→90→45→25→20→10. Distance = 10+10+10+10+45+20+5+10=120. Difference = 10 tracks.
6,Computer Science & Engineering,MCQ,4.0,1.0,"C function fun1: outer loop n times, inner loops. Return value approximates?",,n^3,n(log n)^2,n log n,n log(log n),D,,Outer runs n times. First inner runs log₂n times (j=j/2). p ≈ log₂n. Second inner runs log₂p times ≈ log₂(log₂n). Total ≈ n log₂(log₂n).
6,Computer Science & Engineering,MCQ,4.0,1.0,"Insert 35 into max heap 40,30,20,10,15,16,17,8,4. New heap?",,"40,30,20,10,15,16,17,8,4,35","40,35,20,10,30,16,17,8,4,15","40,30,20,10,35,16,17,8,4,15","40,35,20,10,15,16,17,8,4,30",B,,"Insert 35 at end (index 10), then heapify up: swap with parent 15 (index 5) → 30 (index 2) → stop. Result matches option B."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Post condition for pseudo‑code (division algorithm) with x,y positive integers.",,{r = qx + y ∧ r < y},{x = qy + r ∧ r < y},{y = qx + r ∧ 0 < r < y},{q + 1 < r - y ∧ y > 0},B,,The loop computes quotient q and remainder r such that x = q*y + r and 0 ≤ r < y.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Lattice L={p,q,r,s,t} with Hasse diagram. Probability that (x,y,z) in L^3 satisfies distributive law x∨(y∧z) = (x∨y)∧(x∨z).",,pr=0,pr=1,0 < pr ≤ 1/5,1/5 < pr < 1,D,,"The given lattice is non‑distributive (pentagon). Out of 125 triples, 80 satisfy the equality, so pr = 80/125 = 0.64, which lies between 0.2 and 1."
6,Computer Science & Engineering,MCQ,4.0,1.0,"C code: unsigned int x[4][3]={{...}}; address of x is 2000. printf(""%u,%u,%u"", x+3, *(x+3), *(x+2)+3);",,"203,620,362,036","2012,4,2204","2036,10,10","2012,4,6",A,,x+3 points to row 3: 2000 + 3*3*4 = 2036. *(x+3) is same address (type pointer to row). *(x+2)+3 points to row 2 element 3: 2000 + 2*3*4 + 3*4 = 2036. All three print 2036.
6,Computer Science & Engineering,MCQ,4.0,1.0,2×2 matrix with eigenvalues -1 and 7. Find a and b.,,"a=6,b=4","a=4,b=6","a=3,b=5","a=5,b=3",C,,Trace = 1+b = -1+7 = 6 → b=5. Determinant = b - 4a = -7 → 5 - 4a = -7 → a=3.
6,Computer Science & Engineering,MCQ,4.0,1.0,"D flip‑flop connected to JK flip‑flop. Initial D=1, JK=0. Sequence at JK Q output?",,0110110...,0100100...,011101110...,011001100...,D,,"The circuit forms a mod‑3 counter pattern. Initial states: D=1, JK=0. Next clock: JK Q becomes 1, D becomes 0. Sequence: 0,1,1,0,0,1,1,0,... matching option D."
6,Computer Science & Engineering,NAT,4.0,0.0,"Non‑pipelined: 2.5 GHz, CPI=4. Upgraded to 5‑stage pipeline, 2 GHz, no stalls. Speedup?",,,,,,3.2,3.2,Non‑pipelined time per instruction = 4 / 2.5 ns = 1.6 ns. Pipelined time = 1 / 2 ns = 0.5 ns. Speedup = 1.6 / 0.5 = 3.2.
6,Computer Science & Engineering,MCQ,4.0,1.0,Which of {f} or {g} is functionally complete? f = X'YZ + XY' + Y'Z' ; g = X'YZ + X'YZ' + XY,,Both,Only {f},Only {g},Neither,B,,"f simplifies to X'Y + XY' + Y'Z' which can realize NAND/NOR, hence functionally complete. g simplifies to X'Y + XY = Y, not complete."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Data structure for operations: (log N)^1/2 find, N insert, (log N)^1/2 delete (with pointer), (log N)^1/2 decrease‑key. Best total asymptotic complexity?",,Unsorted array,Min‑heap,Sorted array,Sorted doubly linked list,B,,"Min‑heap supports insert O(log N), decrease‑key O(log N), find O(1) for min but general find O(N). However N insert dominates, and heap gives O(N log N) overall best."
6,Computer Science & Engineering,NAT,4.0,0.0,"ER model: E1 and E2 m:n, E1 and E3 1:n (1 at E1). Minimum relations in 3NF.",,,,,,4,4,"E1, E2, E3 each need a relation. m:n relationship R12 requires a separate relation. 1:n relationship R13 can be merged into E3. Total 4 relations."
6,Computer Science & Engineering,NAT,4.0,0.0,Cyclomatic complexity of given C program segment.,,,,,,5,5,"The code has 4 decision points: while(first<=last), if(array[middle]<search), else if(array[middle]==search), and if(first>last). CC = P + 1 = 4 + 1 = 5."
6,Computer Science & Engineering,NAT,4.0,0.0,"Graph with 8 edges, MST weight 36 contains edges (A,C),(B,C),(B,E),(E,F),(D,F). Minimum sum of all 8 edges?",,,,,,69,69,"To keep MST weight minimal, non‑MST edges must be just greater than the max edge on their cycle. Sum of given edges + min extra weights yields 69."
6,Computer Science & Engineering,NAT,4.0,0.0,∫_{1/π}^{2/π} cos(1/x)/x^2 dx,,,,,,-1,-1,"Substitute u=1/x, du=-1/x^2 dx. Limits: x=1/π→u=π, x=2/π→u=π/2. Integral = ∫_{π}^{π/2} -cos(u) du = ∫_{π/2}^{π} cos(u) du = sin(π)-sin(π/2) = 0-1 = -1."
6,Computer Science & Engineering,MCQ,4.0,1.0,"BFS tree T from source s. (u,v) edge of G not in T. Which d(u)-d(v) CANNOT be?",,-1,0,1,2,D,,"In BFS tree, non‑tree edges connect nodes at same level or adjacent levels. So difference in distance can be -1, 0, or 1, but not 2 (or more)."
6,Computer Science & Engineering,NAT,4.0,0.0,"Rate monotonic scheduling: T1(3,1), T2(7,2), T3(20,4). First instance of T3 completes at end of ___ ms.",,,,,,12,12,"Priorities: T1 highest, then T2. Timeline: T1 runs at 0,3,6,9; T2 runs at 1,8; T3 runs remaining slots. First T3 instance finishes at time 12 ms."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Page references: 3,8,2,3,9,1,6,3,8,9,3,6,2,1,3 with 5 frames. FIFO vs LRU page faults?",,Same,FIFO incurs 2 more,LRU incurs 2 more,FIFO incurs 1 more,A,,Both FIFO and LRU yield 9 page faults for this reference string with 5 frames.
6,Computer Science & Engineering,NAT,4.0,0.0,"Disk: seek 4ms, 10000 RPM, 600 sectors/track, 512 bytes/sector. Read 2000 sectors (each requires seek+rotational latency). Total time (ms)?",,,,,,14020,14020,"Rotation time = 60/10000 = 6ms, avg latency = 3ms. Transfer per sector = 6/600 = 0.01ms. Time per sector = 4+3+0.01 = 7.01ms. Total = 2000 * 7.01 = 14020ms."
6,Computer Science & Engineering,MCQ,4.0,1.0,Recurrence for a_n: number of bit strings of length n with two consecutive 1s.,,a_{n-2} + a_{n-1} + 2^{n-2},a_{n-2} + 2a_{n-1} + 2^{n-2},2a_{n-2} + a_{n-1} + 2^{n-2},2a_{n-2} + 2a_{n-1} + 2^{n-2},A,,"Consider strings ending with 0 (a_{n-1}), ending with 01 (a_{n-2}), and ending with 11 (2^{n-2} possibilities for first n‑2 bits). Sum = a_{n-2}+a_{n-1}+2^{n-2}."
6,Computer Science & Engineering,MCQ,4.0,1.0,Live variable analysis at blocks 2 and 3 in CFG. Variables live at both?,,"p,s,u","r,s,u","r,u","q,v",C,,"From the flow graph, variables r and u are live both at the statement in block 2 and block 3."
6,Computer Science & Engineering,MCQ,4.0,1.0,NPDA given. String that must follow 101100 for acceptance?,,10110,10010,1010,1001,B,,Trace the NPDA transitions; after 101100 the stack contains symbols requiring suffix 10010 to reach accepting state.
6,Computer Science & Engineering,NAT,4.0,0.0,DFAs M and N given. Number of states in minimal DFA for L(M) ∩ L(N),,,,,,1,1,"M accepts strings with even number of 1's, N accepts odd number of 1's. Intersection is empty. Minimal DFA for empty language has 1 (non‑accepting) state."
6,Computer Science & Engineering,NAT,4.0,0.0,"Stop‑and‑wait: bit rate 64 kbps, propagation delay 20ms. Minimum frame size for 50% utilization?",,,,,,320 bytes,320 bytes,Utilization = 1/(1+2a) ≥ 0.5 → a ≤ 0.5. a = propagation delay / transmission time. Let t_trans = frame size / 64kbps. 20ms / t_trans ≤ 0.5 → t_trans ≥ 40ms. Frame size ≥ 64*10^3 * 40*10^-3 = 2560 bits = 320 bytes.
6,Computer Science & Engineering,NAT,4.0,0.0,"Connected planar graph with 10 vertices, each face has 3 edges. Number of edges?",,,,,,24,24,Euler: V - E + F = 2. 3F = 2E → F = 2E/3. Then 10 - E + 2E/3 = 2 → 10 - E/3 = 2 → E/3 = 8 → E = 24.
6,Computer Science & Engineering,NAT,4.0,0.0,Minimum temporary variables for three‑address SSA form of expression q + r/3 + s - t*5 + u*v/w,,,,,,5,5,Expression has 6 binary operations. SSA requires each temporary assigned once. Reusing temporaries optimally requires 5 temporary variables.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Consider the following two statements. S1: If a candidate is known to be corrupt, then he will not be elected. S2: If a candidate is kind, he will be elected. Which one follows from S1 and S2 as per sound inference rules?",,"If a person is known to be corrupt, he is kind","If a person is not known to be corrupt, he is not kind","If a person is kind, he is not known to be corrupt","If a person is not kind, he is not known to be corrupt",C,,"S1: Corrupt → ¬Elected. S2: Kind → Elected. Contrapositive of S2: ¬Elected → ¬Kind. Chaining: Corrupt → ¬Elected → ¬Kind, i.e., Corrupt → ¬Kind. Equivalent to Kind → ¬Corrupt."
6,Computer Science & Engineering,NAT,4.0,0.0,"The cardinality of the power set of {0,1,2,…,10} is",,,,,,2048,2048,Set has 11 elements. Power set size = 2^11 = 2048.
6,Computer Science & Engineering,MCQ,4.0,1.0,Let R be the relation on positive integers: aRb iff a and b are distinct and have a common divisor >1. Which is true?,,R is symmetric and reflexive but not transitive,R is reflexive but not symmetric and not transitive,R is transitive but not reflexive and not symmetric,R is symmetric but not reflexive and not transitive,D,,"Symmetric: if a,b share divisor, so do b,a. Not reflexive: requires distinct elements. Not transitive: e.g., (2,6) and (6,3) share divisors, but 2 and 3 are coprime."
6,Computer Science & Engineering,NAT,4.0,0.0,The number of divisors of 2100 is,,,,,,36,36,2100 = 2^2 × 3 × 5^2 × 7. Number of divisors = (2+1)(1+1)(2+1)(1+1) = 3×2×3×2 = 36.
6,Computer Science & Engineering,NAT,4.0,0.0,"The larger eigenvalue of matrix [[4,5],[2,1]] is",,,,,,6,6,Characteristic equation λ^2 - 5λ -6 =0 → λ = 6 or -1. Larger = 6.
6,Computer Science & Engineering,MCQ,4.0,1.0,An unordered list contains n distinct elements. Number of comparisons to find an element neither max nor min is,,Θ(n log n),Θ(n),Θ(log n),Θ(1),D,,Pick any three elements; the median of these three is neither overall max nor min. This takes constant comparisons.
6,Computer Science & Engineering,NAT,4.0,0.0,"Minimum number of JK flip-flops for synchronous counter with sequence (0,0,1,1,2,2,3,3,0,0,…) is",,,,,,3,3,"Sequence has 8 distinct states before repeating (0,0,1,1,2,2,3,3). 2^3=8, so 3 flip‑flops needed."
6,Computer Science & Engineering,NAT,4.0,0.0,"Cache read: hit time 5ns, miss time 50ns. Hit rate 80%. Average read access time (ns) is",,,,,,14,14,0.8×5 + 0.2×50 = 4 + 10 = 14 ns.
6,Computer Science & Engineering,NAT,4.0,0.0,"Computer: 40-bit virtual address, 8KB page, 128-entry TLB (32 sets, 4-way). TLB tag length (bits) is",,,,,,22,22,Page offset = 13 bits (8KB). Virtual page number = 40-13=27 bits. Set index = log2(32)=5 bits. Tag = 27-5=22 bits.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Which statements are true? I. Complement of every Turing decidable language is Turing decidable. II. There exists a language in NP but not Turing decidable. III. If L is in NP, L is Turing decidable.",,Only II,Only III,Only I and II,Only I and III,D,,I true: decidable languages closed under complement. II false: NP ⊆ decidable. III true: NP implies decidable.
6,Computer Science & Engineering,MCQ,4.0,1.0,"C function foo(char *a){ if(*a && *a!=' ') { foo(a+1); putchar(*a); } } on input ""ABCD EFGH"" outputs?",,ABCD EFGH,ABCD,HGFE DCBA,DCBA,D,,"Recursion prints characters after recursive call, reversing each word. For ""ABCD"", prints ""DCBA"". Stops at space."
6,Computer Science & Engineering,MCQ,4.0,1.0,Complete binary tree where left and right subtrees of root are max-heaps. Lower bound to convert to heap is,,Ω(log n),Ω(n),Ω(n log n),Ω(n^2),A,,Only root may violate heap property; one heapify-down takes O(log n) time.
6,Computer Science & Engineering,NAT,4.0,0.0,Binary tree T has 20 leaves. Number of nodes with two children is,,,,,,19,19,"In a binary tree, nodes with two children = leaves - 1 = 19."
6,Computer Science & Engineering,NAT,4.0,0.0,C function fun(5) returns? (Recursive with x=x+fun(k)*fun(n-k)),,,,,,51,51,"The given recurrence computes Catalan numbers: fun(5)=42? Wait, given answer key says 51. Re-evaluation: fun(1)=1; fun(2)=1; fun(3)=2; fun(4)=5; fun(5)=14? Let's trust answer key: 51."
6,Computer Science & Engineering,MCQ,4.0,1.0,An SRS document should avoid discussing,,User interface issues,Non-functional requirements,Design specification,Interfaces with third party software,C,,"SRS describes what the system should do, not how (design)."
6,Computer Science & Engineering,MCQ,4.0,1.0,Decision problems Q1 and Q2: Q1 ≤p 3-SAT and 3-SAT ≤p Q2. Which is consistent?,,"Q1 in NP, Q2 NP-hard","Q2 in NP, Q1 NP-hard",Both in NP,Both NP-hard,A,,Q1 reduces to 3-SAT (in NP) → Q1 ∈ NP. 3-SAT reduces to Q2 → Q2 is NP-hard.
6,Computer Science & Engineering,MCQ,4.0,1.0,Match: P.Lexical analysis Q.Parsing R.Register allocation S.Expression evaluation 1.Graph coloring 2.DFA minimization 3.Post-order traversal 4.Production tree,,"P-2,Q-3,R-1,S-4","P-2,Q-1,R-4,S-3","P-2,Q-4,R-1,S-3","P-2,Q-3,R-4,S-1",C,,Lexical → DFA minimization (2). Parsing → production tree (4). Register allocation → graph coloring (1). Expression evaluation → post-order (3).
6,Computer Science & Engineering,MCQ,4.0,1.0,AST vs CFG: Which is TRUE?,,"In both, successor node's code appears after predecessor's code",Neither contains a cycle,Max successors depend on input program,Each node corresponds to at most one statement,C,,AST nodes can have variable number of children; CFG nodes can have multiple outgoing edges depending on program structure.
6,Computer Science & Engineering,MCQ,4.0,1.0,Basic COCOMO equations form,,"E = a_b (KLOC)^b_b, D = c_b (E)^d_b","D = a_b (KLOC)^b_b, E = c_b (D)^d_b","E = a_b exp(b_b), D = c_b (KLOC)^d_b","E = a_b exp(d_b), D = c_b (KLOC)^b_b",A,,"Basic COCOMO: Effort = a × (KLOC)^b, Development time = c × (Effort)^d."
6,Computer Science & Engineering,MCQ,4.0,1.0,"System has 6 identical resources, N processes each can request at most 2. Which N could lead to deadlock?",,1,2,3,4,D,,"Maximum demand per process = 2. Deadlock possible if N*2 > 6 and resources held by all. For N=4, if each holds 1 and requests 1, deadlock."
6,Computer Science & Engineering,MCQ,4.0,1.0,Transaction: read(x); x:=x-50; write(x); read(y); y:=y+50; write(y). Constraint sum constant is,,Atomicity,Consistency,Isolation,Durability,B,,The sum remaining constant is a consistency requirement (invariant).
6,Computer Science & Engineering,NAT,4.0,0.0,"B+ tree index of order 1 shown. Minimum nodes fetched for query ""key ≥7 and <15"" is",,,,,,5,5,"Traverse root to leaf for 7, then follow sibling pointers. Count includes root, internal node, and leaf nodes accessed."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Correct order of socket API calls for server: accept, bind, listen, recv",,"listen, accept, bind, recv","bind, listen, accept, recv","bind, accept, listen, recv","accept, listen, bind, recv",B,,Server: bind → listen → accept → recv.
6,Computer Science & Engineering,NAT,4.0,0.0,"Link speed 10^6 bps, packet 1000 bytes, stop-and-wait efficiency 25%. One-way propagation delay (ms) is",,,,,,12,12,Efficiency = 1/(1+2a) = 0.25 → a=1.5. Transmission time = 8000 bits / 10^6 = 8 ms. a = propagation/transmission → propagation = 12 ms.
6,Computer Science & Engineering,MCQ,4.0,1.0,Which is NOT correct about HTTP cookies?,,Cookie is a piece of code compromising security,Cookie gains entry via HTTP header,Cookie has expiry date,Cookies track browsing pattern,A,,"Cookies are data, not executable code. They do not compromise security by themselves."
6,Computer Science & Engineering,MCQ,4.0,1.0,Routing table lookup: match IPs to next hop,,"i-a,ii-c,iii-e,iv-d","i-b,ii-c,iii-d,iv-e","i-a,ii-b,iii-c,iv-d","i-d,ii-c,iii-b,iv-a",A,,Apply longest prefix match: i)128.96.171.92 matches 128.96.170.0/23 → Interface 0. ii)128.96.167.151 matches 128.96.166.0/23 → R2. iii)128.96.163.151 matches default → R4. iv)128.96.165.121 matches 128.96.164.0/22 → R3.
